Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
"Three Billboards Outside Ebbing, Missouri (2017)",1,2017,8.2,"1 December 2017 (USA)
",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,1218
Get Out (2017),2,2017,7.7,"24 February 2017 (USA)
","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",1646
The Florida Project (2017),3,2017,7.6,"10 November 2017 (UK)
","Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",486
John Wick: Chapter 2 (2017),4,2017,7.5,"10 February 2017 (USA)
","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",884
Lady Bird (2017),5,2017,7.4,"1 December 2017 (USA)
","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",798
The Shape of Water (2017),6,2017,7.3,"22 December 2017 (USA)
","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",1630
Mother! (2017),7,2017,6.6,"15 September 2017 (USA)
","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",2158
Good Time (2017),8,2017,7.4,"25 August 2017 (USA)
","After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",306
Split (2016),9,2017,7.3,"20 January 2017 (USA)
",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,1011
Logan (2017),10,2017,8.1,"3 March 2017 (USA)
","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",1601
Call Me by Your Name (2017),11,2017,7.9,"19 January 2018 (USA)
","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",995
Brawl in Cell Block 99 (2017),12,2017,7.1,"6 October 2017 (USA)
",A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.,522
Star Wars: Episode VIII - The Last Jedi (2017),13,2017,7,"15 December 2017 (USA)
","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",6779
The Disaster Artist (2017),14,2017,7.4,"8 December 2017 (USA)
","When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",407
Blade Runner 2049 (2017),15,2017,8,"6 October 2017 (USA)
","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",2440
War for the Planet of the Apes (2017),16,2017,7.4,"14 July 2017 (USA)
","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",893
Thor: Ragnarok (2017),17,2017,7.9,"3 November 2017 (USA)
","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",1622
Baby Driver (2017),18,2017,7.6,"28 June 2017 (USA)
","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",1132
Logan Lucky (2017),19,2017,7,"18 August 2017 (USA)
",Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,331
Detroit (2017),20,2017,7.3,"4 August 2017 (USA)
",Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.,214
