Movie Name,Rank,Year,Rating,Tagline,Movie Budget,Gross Budget
The Killing of a Sacred Deer (2017) ,31,2017,7,N/A,N/A,7027336
The Meyerowitz Stories (2017) ,32,2017,6.9,N/A,N/A,N/A
Battle of the Sexes (2017) ,33,2017,6.7,He made a bet. She made history.,25000000,18598607
War Machine (2017) ,34,2017,6,We're gonna liberate the shit out of you.                ,60000000,N/A
The Beguiled (2017) ,35,2017,6.3,"Innocent, until betrayed.",10500000,27869129
It (2017) ,36,2017,7.3,It Takes Many Forms                ,35000000,701796444
Brad's Status (2017) ,37,2017,6.5,The success you've been searching for may be right next to you.,N/A,3816527
Stronger (2017) ,38,2017,6.9,Based On The Inspiring True Story.                ,30000000,8503658
Patti Cake$ (2017) ,39,2017,6.8,N/A,N/A,1482356
Guardians of the Galaxy Vol. 2 (2017) ,40,2017,7.6,You only get one chance to save the galaxy twice.                ,200000000,863756051
The Lego Batman Movie (2017) ,41,2017,7.3,From the team that assembled The Lego Movie                ,80000000,311950384
Atomic Blonde (2017) ,42,2017,6.7,Talents can be overrated.,30000000,100014025
Wakefield (2016) ,43,2017,6.3,What would your life be like without you?,N/A,798214
Beauty and the Beast (2017) ,44,2017,7.1,Experience the tale as old as time.                ,160000000,1264064386
Brigsby Bear (2017) ,45,2017,7.3,N/A,N/A,681632
Kong: Skull Island (2017) ,46,2017,6.6,We don't belong here                ,185000000,566652812
Alien: Covenant (2017) ,47,2017,6.4,Run                ,97000000,240891763
Goodbye Christopher Robin (2017) ,48,2017,7.1,From a child's imagination to a worldwide phenomenon.                ,N/A,7401949
Victoria & Abdul (2017) ,49,2017,6.8,An extraordinary tale of a queen and her new best friend.                ,21000000,66558465
Suburbicon (2017) ,50,2017,5.7,A little slice of heaven.                ,25000000,12751667
Captain Fantastic (2016) ,1,2016,7.9,He Prepared Them For Everything Except The Outside World                ,N/A,23123592
La La Land (2016) ,2,2016,8,Here's to the fools who dream.,30000000,447408519
Hacksaw Ridge (2016) ,3,2016,8.1,Based on the incredible true story.                ,40000000,180450918
Lion (2016) ,4,2016,8,The true story of a life lost and found                ,12000000,140312928
Hell or High Water (2016) ,5,2016,7.6,Blood always follows money.                ,12000000,37879877
The Witch (2015) ,6,2016,6.9,Evil Takes Many Forms.                ,4000000,40423945
The Jungle Book (2016) ,7,2016,7.4,The legend will never be the same.,175000000,966554929
Deadpool (2016) ,8,2016,8,Size matters                ,58000000,782612155
Moonlight (2016) ,9,2016,7.4,This is the story of a lifetime.,4000000,65336603
Other People (2016) ,10,2016,6.8,N/A,N/A,91441
Zootopia (2016) ,11,2016,8,Welcome to the urban jungle.,150000000,1023792209
Nocturnal Animals (2016) ,12,2016,7.5,When you love someone you can't just throw it away,22500000,30311857
Train to Busan (2016) ,13,2016,7.6,Escape from the zombies! Get on board to stay alive!                ,KRW10000000000,92754562
Don't Breathe (2016) ,14,2016,7.1,In the dark the blind man is king.                ,9900000,157830487
Sing Street (2016) ,15,2016,7.9,Boy meets girl. Girl unimpressed. Boy starts band.,N/A,13624522
Doctor Strange (2016) ,16,2016,7.5,Open your mind. Change your reality.                ,165000000,677796076
The Conjuring 2 (2016) ,17,2016,7.3,The next true story from the case files of Ed and Lorraine Warren,40000000,320392818
The Distinguished Citizen (2016) ,18,2016,7.5,N/A,N/A,4525656
Your Name. (2016) ,19,2016,8.4,"Gestern, heute und für immer. (Germany/Austria)                ",JPY370000000,358922706
Maudie (2016) ,20,2016,7.6,Based On A True Story                ,EUR4993020,9733932
Miss Peregrine's Home for Peculiar Children (2016) ,21,2016,6.7,Embrace the peculiar.                ,110000000,296482446
Eddie the Eagle (2015) ,22,2016,7.4,Landing in cinemas April 1                ,23000000,46152800
Elle (2016) ,23,2016,7.1,Electrifying... Utterly Gripping!                ,EUR9000000,12748594
Julieta (2016) ,24,2016,7.1,N/A,EUR1350000,22468044
Manchester by the Sea (2016) ,25,2016,7.8,Heartbreaking and Heart-warming. Packs an emotional wallop!                ,9000000,78988148
Dangal (2016) ,26,2016,8.4,You think our girls are any lesser than boys?,INR700000000,303723636
10 Cloverfield Lane (2016) ,27,2016,7.2,Monsters come in many forms                ,15000000,110216998
Hidden Figures (2016) ,28,2016,7.8,"Meet the women you don't know, behind the mission you do.                ",25000000,235956898
Florence Foster Jenkins (2016) ,29,2016,6.8,Every voice deserves to be heard.                ,29000000,49052787
The Invisible Guest (2016) ,30,2016,8.1,"Every story has two sides. The truth, only one.",EUR4000000,31191910
I'm Gilda (2016) ,31,2016,6.9,Natalia Oreiro es... [Natalia Oreiro is...]                ,N/A,4711955
Deepwater Horizon (2016) ,32,2016,7.1,Inspired by a true story of real life heroes                ,110000000,121790373
The Edge of Seventeen (2016) ,33,2016,7.3,You're only young once... is it over yet?,9000000,19370020
The Magnificent Seven (2016) ,34,2016,6.9,Justice has a number.,90000000,162360636
The Shallows (2016) ,35,2016,6.3,Not just another day at the beach.                ,17000000,119100758
X-Men: Apocalypse (2016) ,36,2016,6.9,Destroy                ,178000000,543934105
Hush (2016) ,37,2016,6.6,Silence can be killer.,1000000,N/A
Captain America: Civil War (2016) ,38,2016,7.8,Whose side are you on?                ,250000000,1153332120
¿Qué culpa tiene el niño? (2016) ,39,2016,6.6,N/A,N/A,14490880
War Dogs (2016) ,40,2016,7.1,"Money, corruption and the American dream                ",40000000,86234523
A Monster Calls (2016) ,41,2016,7.5,Courage conquers all.                ,43000000,47309313
"I, Daniel Blake (2016) ",42,2016,7.9,Magnificent! One of Loach's very best. Demands to be seen!                ,N/A,15793051
Lights Out (2016) ,43,2016,6.3,You were right to be afraid of the dark.                ,4900000,148868835
The Innocents (2016) ,44,2016,7.3,Powerful and moving. Examines every moral crevice of an unthinkable scenario.                ,EUR6000000,7400324
Rogue One: A Star Wars Story (2016) ,45,2016,7.8,Save the Rebellion. Save the dream.                ,200000000,1056057720
13 Hours (2016) ,46,2016,7.3,When everything went wrong six men had the courage to do what was right                ,50000000,69411370
Fantastic Beasts and Where to Find Them (2016) ,47,2016,7.3,From J.K. Rowling's wizarding world.                ,180000000,814044001
The Autopsy of Jane Doe (2016) ,48,2016,6.8,Every body has a secret.                ,N/A,6170043
American Honey (2016) ,49,2016,7,Optimistic and just plain beautiful. A film for this generation!                ,N/A,2290649
The Founder (2016) ,50,2016,7.2,Risk taker. Rule breaker. Game changer.                ,25000000,24121245
